[판넬]비상정지,M4000
[OP]비상정지,M4001
[LEFT]비상정지,M4002
[RIGHT]비상정지,M4003
드럼 인버터 폴트,M4004
프레스롤 인버터 폴트,M4005
슬러지 펼침 인버터 폴트,M4006
슬러지 공급 인버터 폴트,M4007
캠모터 EOCR 트립,M4008
드럼 EOCR 트립,M4009
프레스롤 EOCR 트립,M400A
세척1 EOCR 트립,M400B
세척2 EOCR 트립,M400C
판넬 쿨링팬 EOCR 트립,M400D
슬립링 쿨링팬 폴트,M400E
슬러지 공급 EOCR 트립,M400F
슬러지 펼침 EOCR 트립,M4010
미사용,M4011
미사용,M4012
변압기 EOCR 트립,M4013
변압기 온도 초과,M4014
SCR 전류 초과,M4015
SCR 온도 초과,M4016
DC 전류 초과,M4017
변압기 판넬 앞문 열림,M4018
변압기 판넬 뒷문 열림,M4019
SCR 판넬 문 열림,M401A
탈수기 좌측 문열림,M401B
탈수기 우측 문열림,M401C
벨트 좌측 이탈,M401D
벨트 우측 이탈,M401E
공압 저하,M401F
쿨링 팬 폴트,M4020
드럼 냉각수 온도 초과,M4021
공압 솔밸브 CP 트립,M4022
슬립링 온도 초과,M4023
변압기 ACB 트립,M4024
드럼 플레이트 교체 준비,M4025
슬러지 스크래퍼 교체 준비,M4026
세척노즐 교체 준비,M4027
근접센서 교체 준비,M4028
물탱크센서 교체 준비,M4029
여과포 교체 준비,M402A
미사용,M402B
미사용,M402C
미사용,M402D
미사용,M402E
미사용,M402F


